chunk_id,sample_id,n_orfs,sequence_length
AP009510.1_chunk,AP009510.1,16888,1125857
AP009511.1_chunk,AP009511.1,241,11650
AP009512.1_chunk,AP009512.1,107,5701
AP009513.1_chunk,AP009513.1,109,5362
CU466930.1_chunk,CU466930.1,32600,2246820
CP002991.1_chunk,CP002991.1,46378,2785056
CP006835.1_chunk,CP006835.1,72774,6432277
CP006836.1_chunk,CP006836.1,1415,144951
CP002546.1_chunk,CP002546.1,81824,6006602
